date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,29,16,0.0,11.0,6,6,33,10:46 AM,11:05 PM,07:21 AM,06:25 PM,4,23,23,22,13,0,32,0.0,1016,29,10,70,9
2020-01-31,30,15,0.0,11.1,6,6,37,11:19 AM,11:55 PM,07:20 AM,06:26 PM,3,23,23,23,20,0,31,0.0,1014,30,10,147,12
2020-02-01,28,14,0.0,11.1,6,6,49,11:52 AM,No moonset,07:20 AM,06:26 PM,-1,22,22,22,26,0,24,0.0,1015,28,10,58,16
2020-02-02,28,15,0.0,11.1,6,6,57,12:27 PM,12:45 AM,07:19 AM,06:27 PM,1,22,22,22,28,1,27,0.0,1016,28,10,61,17
2020-02-03,33,16,0.0,11.1,6,6,64,01:05 PM,01:37 AM,07:19 AM,06:28 PM,3,25,25,25,23,2,27,0.0,1015,33,10,147,14
2020-02-04,29,18,0.0,11.1,6,6,72,01:48 PM,02:31 AM,07:19 AM,06:28 PM,3,23,23,23,18,0,29,0.0,1014,29,10,307,11
2020-02-05,33,16,0.0,11.1,6,6,79,02:36 PM,03:29 AM,07:18 AM,06:29 PM,4,25,25,25,17,0,30,0.0,1014,33,10,166,11
2020-02-06,30,17,0.0,11.1,6,6,87,03:31 PM,04:27 AM,07:18 AM,06:30 PM,3,24,24,24,24,0,29,0.0,1014,30,10,127,14
2020-02-07,30,16,0.0,11.1,6,6,95,04:31 PM,05:27 AM,07:17 AM,06:30 PM,1,24,24,23,20,0,26,0.0,1016,30,10,59,13
2020-02-08,28,15,0.0,11.1,6,6,100,05:36 PM,06:24 AM,07:17 AM,06:31 PM,0,22,22,22,29,0,26,0.0,1018,28,10,57,18
2020-02-09,29,16,0.0,11.2,6,6,100,06:42 PM,07:18 AM,07:16 AM,06:32 PM,-2,22,22,22,30,0,22,0.0,1018,29,10,74,19
