date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,33,21,0.0,11.6,7,7,33,10:25 AM,10:44 PM,06:46 AM,06:19 PM,12,28,28,27,8,5,44,0.0,1013,33,10,198,6
2020-01-31,32,20,0.0,11.6,7,7,37,11:01 AM,11:29 PM,06:46 AM,06:20 PM,12,27,27,26,14,7,46,0.0,1011,32,10,167,10
2020-02-01,29,19,0.0,11.6,6,6,49,11:38 AM,No moonset,06:46 AM,06:20 PM,14,24,24,23,22,12,59,0.0,1012,29,10,136,16
2020-02-02,28,17,0.0,11.6,6,6,57,12:17 PM,12:16 AM,06:46 AM,06:21 PM,13,23,23,22,22,10,58,0.0,1015,28,10,112,17
2020-02-03,29,17,0.0,11.6,6,6,64,12:59 PM,01:04 AM,06:46 AM,06:21 PM,11,22,22,22,22,3,54,0.0,1015,29,10,103,16
2020-02-04,29,15,0.0,11.6,6,6,72,01:44 PM,01:56 AM,06:45 AM,06:21 PM,11,22,22,22,21,11,59,0.0,1014,29,10,125,16
2020-02-05,29,19,0.0,11.6,5,5,79,02:35 PM,02:50 AM,06:45 AM,06:22 PM,14,24,24,24,17,32,61,0.1,1013,29,10,110,12
2020-02-06,30,18,0.0,11.6,7,7,87,03:31 PM,03:47 AM,06:45 AM,06:22 PM,12,25,25,25,14,15,50,0.0,1013,30,10,154,10
2020-02-07,30,19,0.0,11.6,7,7,95,04:30 PM,04:46 AM,06:45 AM,06:23 PM,12,25,25,24,15,17,52,0.0,1013,30,10,185,11
2020-02-08,31,19,0.0,8.7,6,6,100,05:33 PM,05:45 AM,06:44 AM,06:23 PM,13,26,26,25,15,37,56,0.2,1013,31,10,229,12
2020-02-09,27,18,0.0,7.3,5,5,100,06:35 PM,06:41 AM,06:44 AM,06:23 PM,16,23,23,22,21,64,68,1.6,1014,27,10,138,16
2020-02-10,29,19,0.0,10.2,5,5,83,07:38 PM,07:35 AM,06:44 AM,06:24 PM,14,23,23,23,23,47,60,0.3,1014,29,10,112,19
2020-02-11,29,17,0.0,11.6,6,6,75,08:38 PM,08:25 AM,06:44 AM,06:24 PM,14,23,23,22,25,14,62,0.0,1015,29,10,108,21
2020-02-12,29,17,0.0,11.6,6,6,68,09:37 PM,09:13 AM,06:43 AM,06:24 PM,14,23,23,23,23,12,62,0.0,1016,29,10,108,18
2020-02-13,31,17,0.0,11.6,7,7,60,10:33 PM,10:00 AM,06:43 AM,06:25 PM,11,25,25,25,18,9,52,0.0,1015,31,10,68,13
2020-02-14,32,19,0.0,11.6,7,7,53,11:31 PM,10:45 AM,06:43 AM,06:25 PM,11,26,26,25,14,4,47,0.0,1014,32,10,33,10
2020-02-15,34,20,0.0,11.6,7,7,45,No moonrise,11:32 AM,06:42 AM,06:25 PM,8,27,27,27,16,1,36,0.0,1013,34,10,65,11
2020-02-16,32,19,0.0,11.6,7,7,38,12:27 AM,12:19 PM,06:42 AM,06:25 PM,5,25,25,25,21,0,32,0.0,1014,32,10,82,15
2020-02-17,31,17,0.0,11.6,7,7,30,01:24 AM,01:09 PM,06:42 AM,06:26 PM,5,24,24,24,21,0,36,0.0,1015,31,10,88,15
2020-02-18,31,17,0.0,11.6,7,7,22,02:20 AM,02:01 PM,06:41 AM,06:26 PM,7,24,24,24,23,0,39,0.0,1015,31,10,91,16
2020-02-19,31,19,0.0,11.6,7,7,15,03:16 AM,02:54 PM,06:41 AM,06:26 PM,10,26,26,25,19,1,47,0.0,1014,31,10,79,14
2020-02-20,31,17,0.0,11.6,7,7,7,04:08 AM,03:47 PM,06:40 AM,06:26 PM,9,24,24,24,23,0,48,0.0,1014,31,10,107,17
2020-02-21,31,16,0.0,11.6,6,6,0,04:59 AM,04:40 PM,06:40 AM,06:27 PM,8,24,24,24,23,7,50,0.0,1016,31,10,113,16
2020-02-22,31,17,0.0,11.6,6,6,0,05:46 AM,05:31 PM,06:39 AM,06:27 PM,12,24,24,24,24,11,59,0.0,1016,31,10,99,18
2020-02-23,31,17,0.0,11.6,6,6,0,06:29 AM,06:20 PM,06:39 AM,06:27 PM,13,24,24,24,22,13,59,0.0,1015,31,10,99,17
2020-02-24,31,17,0.0,11.6,7,7,0,07:09 AM,07:08 PM,06:38 AM,06:27 PM,11,24,24,24,19,5,53,0.0,1013,31,10,112,14
2020-02-25,32,18,0.0,11.6,7,7,8,07:48 AM,07:54 PM,06:38 AM,06:27 PM,12,26,26,25,18,9,54,0.0,1012,32,10,117,13
2020-02-26,32,20,0.0,11.6,7,7,15,08:24 AM,08:39 PM,06:37 AM,06:28 PM,14,26,26,25,18,8,54,0.0,1012,32,10,119,13
2020-02-27,29,19,0.0,11.6,7,7,23,09:00 AM,09:25 PM,06:37 AM,06:28 PM,14,24,24,24,19,23,58,0.0,1012,29,10,87,14
2020-02-28,29,18,0.0,11.6,6,6,30,09:37 AM,10:11 PM,06:36 AM,06:28 PM,15,24,24,23,22,30,62,0.0,1011,29,10,100,17
2020-02-29,31,18,0.0,10.2,7,7,38,10:14 AM,10:58 PM,06:36 AM,06:28 PM,14,26,26,26,18,41,59,0.1,1011,31,10,105,15
2020-03-01,30,19,0.0,11.6,6,6,44,10:54 AM,11:47 PM,06:35 AM,06:28 PM,15,25,25,24,18,44,58,0.4,1012,30,10,113,14
2020-03-02,30,20,0.0,11.6,7,7,51,11:37 AM,No moonset,06:35 AM,06:29 PM,15,26,26,25,11,31,54,0.1,1012,30,10,161,9
2020-03-03,31,20,0.0,10.2,6,6,58,12:23 PM,12:38 AM,06:34 AM,06:29 PM,15,27,27,26,10,37,52,0.1,1012,31,10,130,8
2020-03-04,32,22,0.0,11.6,7,7,65,01:15 PM,01:33 AM,06:34 AM,06:29 PM,14,28,28,27,9,43,45,1.0,1011,32,10,280,7
2020-03-05,29,23,0.0,10.2,6,6,73,02:11 PM,02:29 AM,06:33 AM,06:29 PM,16,27,27,26,13,35,56,0.3,1010,29,10,178,10
2020-03-06,30,21,0.0,10.2,6,6,80,03:12 PM,03:27 AM,06:32 AM,06:29 PM,17,27,27,25,15,54,60,2.3,1011,30,10,212,12
2020-03-07,29,22,0.0,8.8,6,6,87,04:14 PM,04:23 AM,06:32 AM,06:29 PM,17,27,27,26,13,59,61,2.8,1012,29,10,177,10
2020-03-08,31,22,0.0,6.0,6,6,95,05:17 PM,05:18 AM,06:31 AM,06:29 PM,18,27,27,26,15,64,66,1.9,1012,31,10,161,12
2020-03-09,30,22,0.0,6.0,6,6,100,06:18 PM,06:10 AM,06:31 AM,06:29 PM,18,27,27,26,15,79,65,2.2,1011,30,10,175,12
2020-03-10,31,22,0.0,8.8,6,6,100,07:19 PM,07:00 AM,06:30 AM,06:29 PM,16,27,27,26,17,41,55,0.8,1011,31,10,145,13
2020-03-11,32,22,0.0,11.6,7,7,84,08:18 PM,07:49 AM,06:29 AM,06:30 PM,13,27,27,27,17,18,45,0.0,1011,32,10,159,13
2020-03-12,32,22,0.0,11.6,7,7,76,09:18 PM,08:36 AM,06:29 AM,06:30 PM,13,27,27,27,17,19,44,0.0,1013,32,10,137,13
2020-03-13,32,22,0.0,11.6,7,7,69,10:17 PM,09:24 AM,06:28 AM,06:30 PM,11,27,27,27,18,6,41,0.0,1013,32,10,124,14
2020-03-14,32,22,0.0,11.6,7,7,62,11:16 PM,10:13 AM,06:27 AM,06:30 PM,12,27,27,27,17,2,44,0.0,1012,32,10,101,13
2020-03-15,33,22,0.0,11.6,7,7,55,No moonrise,11:04 AM,06:27 AM,06:30 PM,13,27,27,27,18,4,49,0.0,1011,33,10,97,14
2020-03-16,32,21,0.0,11.6,7,7,47,12:14 AM,11:56 AM,06:26 AM,06:30 PM,15,27,27,26,20,5,53,0.0,1012,32,10,125,16
2020-03-17,33,21,0.0,11.6,7,7,40,01:11 AM,12:50 PM,06:25 AM,06:30 PM,12,27,27,27,22,3,46,0.0,1013,33,10,129,18
2020-03-18,33,21,0.0,11.6,7,7,33,02:06 AM,01:44 PM,06:25 AM,06:30 PM,9,27,27,27,24,1,34,0.0,1013,33,10,123,17
