date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,28,23,0.0,11.6,7,7,33,10:14 AM,10:32 PM,06:35 AM,06:09 PM,20,28,28,26,20,1,71,0.0,1012,28,10,149,14
2020-01-31,28,25,0.0,11.6,7,7,37,10:50 AM,11:18 PM,06:35 AM,06:09 PM,21,28,28,26,18,8,72,0.0,1011,28,10,130,12
2020-02-01,28,25,0.0,11.6,7,7,49,11:27 AM,No moonset,06:35 AM,06:09 PM,20,28,28,26,20,17,70,0.0,1012,28,10,132,14
2020-02-02,28,24,0.0,11.6,7,7,57,12:06 PM,12:05 AM,06:35 AM,06:10 PM,20,28,28,26,20,16,69,0.0,1014,28,10,107,14
2020-02-03,28,24,0.0,11.6,7,7,64,12:47 PM,12:53 AM,06:35 AM,06:10 PM,18,27,27,26,18,16,63,0.0,1014,28,10,80,13
2020-02-04,28,24,0.0,10.2,6,6,72,01:33 PM,01:45 AM,06:35 AM,06:11 PM,19,27,27,26,20,25,68,0.5,1013,28,10,85,14
2020-02-05,28,24,0.0,11.6,7,7,79,02:23 PM,02:39 AM,06:34 AM,06:11 PM,18,27,27,26,17,4,62,0.0,1013,28,10,113,12
2020-02-06,28,25,0.0,11.6,7,7,87,03:19 PM,03:36 AM,06:34 AM,06:11 PM,19,28,28,26,19,0,64,0.0,1013,28,10,143,14
2020-02-07,28,24,0.0,11.6,7,7,95,04:18 PM,04:35 AM,06:34 AM,06:12 PM,20,28,28,26,23,6,68,0.0,1013,28,10,143,16
2020-02-08,28,24,0.0,11.6,7,7,100,05:21 PM,05:34 AM,06:34 AM,06:12 PM,19,28,28,26,23,8,66,0.0,1013,28,10,133,17
2020-02-09,28,25,0.0,5.9,6,6,100,06:24 PM,06:30 AM,06:33 AM,06:12 PM,21,28,28,26,24,68,71,2.3,1014,28,10,99,17
2020-02-10,28,25,0.0,11.6,6,6,83,07:27 PM,07:24 AM,06:33 AM,06:13 PM,20,28,28,26,25,47,70,0.5,1014,28,10,73,18
