date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,31,20,0.0,11.6,7,7,33,10:22 AM,10:40 PM,06:49 AM,06:10 PM,14,26,26,25,11,16,53,0.0,1013,31,10,227,9
2020-01-31,31,21,0.0,11.6,7,7,37,10:56 AM,11:28 PM,06:48 AM,06:10 PM,13,26,26,25,19,14,48,0.0,1011,31,10,128,13
2020-02-01,29,20,0.0,11.6,7,7,49,11:32 AM,No moonset,06:48 AM,06:11 PM,15,25,25,24,22,24,56,0.0,1012,29,10,143,16
2020-02-02,29,19,0.0,8.7,5,5,57,12:09 PM,12:15 AM,06:48 AM,06:11 PM,16,24,24,23,21,39,67,0.1,1014,29,10,133,16
2020-02-03,29,19,0.0,11.6,6,6,64,12:49 PM,01:06 AM,06:48 AM,06:12 PM,15,25,25,24,20,16,59,0.0,1014,29,10,134,15
2020-02-04,30,19,0.0,11.6,7,7,72,01:34 PM,01:58 AM,06:47 AM,06:12 PM,14,25,25,24,23,11,56,0.0,1013,30,10,146,16
2020-02-05,31,19,0.0,11.6,7,7,79,02:23 PM,02:54 AM,06:47 AM,06:13 PM,13,25,25,25,19,25,52,0.0,1012,31,10,168,13
2020-02-06,32,21,0.0,11.6,7,7,87,03:18 PM,03:52 AM,06:47 AM,06:13 PM,12,26,26,26,20,22,44,0.0,1011,32,10,199,14
2020-02-07,31,21,0.0,8.7,6,6,95,04:18 PM,04:50 AM,06:46 AM,06:14 PM,13,26,26,25,21,58,51,0.3,1012,31,10,201,16
2020-02-08,29,20,0.0,7.3,6,6,100,05:22 PM,05:49 AM,06:46 AM,06:14 PM,16,25,25,24,22,64,64,2.8,1013,29,10,151,16
2020-02-09,27,19,0.0,5.8,5,5,100,06:26 PM,06:44 AM,06:46 AM,06:15 PM,17,23,23,22,23,80,73,4.9,1015,27,10,99,17
2020-02-10,28,19,0.0,7.3,5,5,83,07:30 PM,07:37 AM,06:45 AM,06:15 PM,17,23,23,23,23,79,71,0.7,1015,28,10,123,18
2020-02-11,27,19,0.0,8.7,5,5,75,08:32 PM,08:25 AM,06:45 AM,06:16 PM,17,24,24,23,20,60,71,0.5,1015,27,10,112,16
2020-02-12,28,19,0.0,7.3,5,5,68,09:33 PM,09:11 AM,06:44 AM,06:16 PM,17,24,24,23,14,44,69,0.5,1016,28,10,85,11
2020-02-13,31,22,0.0,11.6,7,7,60,10:32 PM,09:55 AM,06:44 AM,06:17 PM,11,26,26,26,12,3,42,0.0,1015,31,10,42,10
2020-02-14,33,24,0.0,11.6,7,7,53,11:31 PM,10:39 AM,06:43 AM,06:17 PM,7,27,27,28,10,0,26,0.0,1013,33,10,19,8
2020-02-15,36,24,0.0,11.6,8,8,45,No moonrise,11:24 AM,06:43 AM,06:17 PM,9,30,30,30,8,1,29,0.0,1012,36,10,70,6
2020-02-16,33,24,0.0,11.6,7,7,38,12:29 AM,12:10 PM,06:42 AM,06:18 PM,10,27,27,28,13,1,33,0.0,1013,33,10,88,10
2020-02-17,32,24,0.0,11.6,7,7,30,01:27 AM,12:58 PM,06:42 AM,06:18 PM,11,27,27,28,12,1,37,0.0,1014,32,10,77,10
2020-02-18,33,24,0.0,11.6,7,7,22,02:24 AM,01:49 PM,06:41 AM,06:19 PM,3,26,26,28,13,0,21,0.0,1013,33,10,66,11
2020-02-19,33,23,0.0,11.6,7,7,15,03:20 AM,02:41 PM,06:41 AM,06:19 PM,10,27,27,27,15,0,36,0.0,1013,33,10,108,12
2020-02-20,31,19,0.0,11.6,7,7,7,04:13 AM,03:35 PM,06:40 AM,06:19 PM,13,26,26,25,21,3,53,0.0,1013,31,10,123,16
2020-02-21,30,19,0.0,11.6,7,7,0,05:03 AM,04:28 PM,06:40 AM,06:20 PM,11,24,24,24,24,2,46,0.0,1015,30,10,121,18
2020-02-22,31,20,0.0,11.6,7,7,0,05:49 AM,05:21 PM,06:39 AM,06:20 PM,12,25,25,25,20,2,46,0.0,1016,31,10,111,15
2020-02-23,32,20,0.0,11.6,7,7,0,06:31 AM,06:12 PM,06:39 AM,06:20 PM,12,27,27,26,22,2,45,0.0,1014,32,10,125,16
2020-02-24,33,22,0.0,11.6,7,7,0,07:10 AM,07:01 PM,06:38 AM,06:21 PM,10,27,27,27,19,10,38,0.0,1011,33,10,155,13
2020-02-25,32,22,0.0,10.2,6,6,8,07:47 AM,07:49 PM,06:37 AM,06:21 PM,13,27,27,27,17,23,46,0.0,1010,32,10,221,12
2020-02-26,32,21,0.0,11.6,7,7,15,08:21 AM,08:36 PM,06:37 AM,06:21 PM,16,27,27,26,13,16,55,0.0,1011,32,10,106,10
2020-02-27,32,22,0.0,11.6,7,7,23,08:56 AM,09:23 PM,06:36 AM,06:22 PM,9,27,27,27,15,4,38,0.0,1012,32,10,66,11
2020-02-28,30,20,0.0,11.6,7,7,30,09:31 AM,10:10 PM,06:35 AM,06:22 PM,15,25,25,25,17,29,59,0.0,1011,30,10,102,13
2020-02-29,31,20,0.0,10.2,6,6,38,10:06 AM,10:59 PM,06:35 AM,06:22 PM,15,26,26,26,16,44,55,0.0,1011,31,10,111,12
2020-03-01,33,20,0.0,8.8,6,6,44,10:45 AM,11:49 PM,06:34 AM,06:22 PM,15,27,27,26,15,51,53,2.8,1011,33,10,98,11
2020-03-02,31,22,0.0,8.8,6,6,51,11:27 AM,No moonset,06:33 AM,06:23 PM,14,28,28,27,11,36,46,2.2,1011,31,10,197,8
2020-03-03,34,23,0.0,11.6,7,7,58,12:12 PM,12:42 AM,06:33 AM,06:23 PM,12,29,29,29,14,10,38,0.0,1010,34,10,241,10
2020-03-04,34,24,0.0,11.6,8,8,65,01:03 PM,01:38 AM,06:32 AM,06:23 PM,10,28,28,29,16,13,33,0.0,1009,34,10,268,11
2020-03-05,34,24,0.0,11.6,7,7,73,01:59 PM,02:34 AM,06:31 AM,06:24 PM,12,29,29,29,13,20,41,0.1,1008,34,10,223,10
2020-03-06,34,22,0.0,11.6,7,7,80,03:00 PM,03:32 AM,06:31 AM,06:24 PM,14,28,28,28,22,36,47,1.0,1009,34,10,226,17
2020-03-07,34,22,0.0,11.6,7,7,87,04:03 PM,04:27 AM,06:30 AM,06:24 PM,14,30,30,29,15,44,46,2.0,1011,34,10,258,11
2020-03-08,31,22,0.0,7.4,6,6,95,05:07 PM,05:21 AM,06:29 AM,06:24 PM,18,28,28,26,20,69,64,4.5,1011,31,9,130,15
2020-03-09,30,24,0.0,6.0,6,6,100,06:11 PM,06:11 AM,06:28 AM,06:25 PM,18,28,28,27,15,65,59,2.3,1010,30,10,126,11
2020-03-10,35,23,0.0,11.6,7,7,100,07:14 PM,06:59 AM,06:28 AM,06:25 PM,14,30,30,29,17,21,43,0.0,1009,35,10,164,13
2020-03-11,32,24,0.0,7.4,6,6,84,08:16 PM,07:45 AM,06:27 AM,06:25 PM,16,29,29,28,21,47,49,0.3,1010,32,10,189,16
2020-03-12,33,24,0.0,11.6,7,7,76,09:17 PM,08:30 AM,06:26 AM,06:25 PM,14,29,29,28,20,34,44,0.0,1011,33,10,169,15
2020-03-13,32,23,0.0,11.6,6,6,69,10:18 PM,09:17 AM,06:25 AM,06:25 PM,15,29,29,28,21,33,48,0.0,1011,32,10,153,16
2020-03-14,35,23,0.0,11.6,8,8,62,11:19 PM,10:04 AM,06:25 AM,06:26 PM,14,29,29,29,17,15,42,0.0,1010,35,10,151,12
2020-03-15,34,23,0.0,11.6,7,7,55,No moonrise,10:53 AM,06:24 AM,06:26 PM,14,28,28,28,17,16,44,0.0,1011,34,10,109,13
2020-03-16,34,22,0.0,11.6,7,7,47,12:18 AM,11:45 AM,06:23 AM,06:26 PM,14,28,28,28,21,10,46,0.0,1012,34,10,117,16
2020-03-17,35,23,0.0,11.6,8,8,40,01:16 AM,12:37 PM,06:22 AM,06:26 PM,13,29,29,29,21,8,40,0.0,1012,35,10,114,16
2020-03-18,37,24,0.0,11.6,8,8,33,02:10 AM,01:32 PM,06:21 AM,06:26 PM,9,32,32,31,12,10,28,0.0,1011,37,10,164,9
2020-03-19,35,28,0.0,10.2,7,7,25,03:01 AM,02:25 PM,06:21 AM,06:27 PM,12,29,29,30,11,38,34,3.1,1010,35,10,100,8
2020-03-20,35,25,0.0,11.6,8,8,18,03:48 AM,03:17 PM,06:20 AM,06:27 PM,12,29,29,30,16,19,35,0.4,1010,35,10,156,11
2020-03-21,38,24,0.0,11.6,8,8,11,04:30 AM,04:08 PM,06:19 AM,06:27 PM,11,32,32,32,9,12,36,0.5,1009,38,10,190,7
2020-03-22,37,25,0.0,11.6,8,8,4,05:10 AM,04:58 PM,06:18 AM,06:27 PM,14,33,33,31,11,3,44,0.0,1010,37,10,231,9
2020-03-23,34,24,0.0,11.6,7,7,0,05:47 AM,05:46 PM,06:18 AM,06:27 PM,16,29,29,29,16,19,50,0.0,1010,34,10,127,12
2020-03-24,35,24,0.0,11.6,8,8,0,06:22 AM,06:32 PM,06:17 AM,06:28 PM,14,30,30,30,17,16,41,0.0,1008,35,10,107,13
2020-03-25,35,24,0.0,11.6,8,8,3,06:57 AM,07:20 PM,06:16 AM,06:28 PM,13,30,30,30,18,18,39,0.0,1008,35,10,107,13
2020-03-26,36,26,0.0,11.6,8,8,11,07:31 AM,08:07 PM,06:15 AM,06:28 PM,12,30,30,31,15,16,33,0.0,1009,36,10,114,11
2020-03-27,37,27,0.0,11.6,8,8,18,08:06 AM,08:55 PM,06:14 AM,06:28 PM,10,31,31,32,19,4,28,0.0,1010,37,10,127,14
2020-03-28,37,26,0.0,11.6,8,8,25,08:44 AM,09:45 PM,06:14 AM,06:28 PM,10,31,31,32,13,11,27,0.0,1009,37,10,97,10
2020-03-29,38,27,0.0,11.6,8,8,32,09:24 AM,10:36 PM,06:13 AM,06:29 PM,10,32,32,33,9,9,26,0.0,1008,38,10,111,8
2020-03-30,38,28,0.0,11.6,8,8,40,10:07 AM,11:30 PM,06:12 AM,06:29 PM,9,31,31,33,13,5,24,0.0,1009,38,10,114,9
2020-03-31,38,28,0.0,11.6,8,8,44,10:55 AM,No moonset,06:11 AM,06:29 PM,10,32,32,33,11,8,25,0.0,1010,38,10,94,8
2020-04-01,38,30,0.0,11.6,8,8,56,11:48 AM,12:25 AM,06:10 AM,06:29 PM,10,33,33,34,10,8,24,0.0,1009,38,10,199,8
2020-04-02,39,29,0.0,11.6,8,8,64,12:45 PM,01:20 AM,06:10 AM,06:29 PM,11,33,33,34,10,6,25,0.0,1007,39,10,182,7
2020-04-03,37,28,0.0,11.6,8,8,71,01:45 PM,02:14 AM,06:09 AM,06:30 PM,11,31,31,32,17,11,29,0.0,1009,37,10,159,12
