date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,24,11,0.0,11.1,5,5,33,10:33 AM,10:52 PM,07:07 AM,06:13 PM,4,16,18,16,21,5,43,0.0,1016,24,10,55,12
2020-01-31,25,11,0.0,11.1,5,5,37,11:06 AM,11:41 PM,07:07 AM,06:13 PM,3,18,18,18,16,1,37,0.0,1014,25,10,167,10
2020-02-01,24,12,0.0,11.1,5,5,49,11:39 AM,No moonset,07:06 AM,06:14 PM,3,18,19,18,22,3,38,0.0,1016,24,10,38,13
2020-02-02,25,11,0.0,11.1,5,5,57,12:14 PM,12:31 AM,07:06 AM,06:15 PM,2,18,19,18,24,3,36,0.0,1018,25,10,73,14
2020-02-03,27,13,0.0,11.1,6,6,64,12:53 PM,01:23 AM,07:06 AM,06:15 PM,6,20,21,20,18,12,40,0.0,1016,27,10,165,11
2020-02-04,28,15,0.0,11.1,6,6,72,01:36 PM,02:18 AM,07:05 AM,06:16 PM,7,21,21,21,20,6,44,0.0,1013,28,10,266,12
2020-02-05,27,14,0.0,11.1,6,6,79,02:23 PM,03:15 AM,07:05 AM,06:17 PM,5,20,20,20,16,1,38,0.0,1014,27,10,172,10
2020-02-06,27,16,0.0,11.1,6,6,87,03:18 PM,04:13 AM,07:04 AM,06:17 PM,5,21,22,21,16,6,38,0.0,1013,27,10,203,10
2020-02-07,26,13,0.0,11.1,6,6,95,04:18 PM,05:13 AM,07:04 AM,06:18 PM,5,20,21,20,24,3,42,0.0,1015,26,10,21,14
2020-02-08,24,12,0.0,11.2,5,5,100,05:23 PM,06:10 AM,07:03 AM,06:18 PM,3,17,19,17,28,1,42,0.0,1018,24,10,53,18
2020-02-09,25,10,0.0,11.2,5,5,100,06:29 PM,07:04 AM,07:03 AM,06:19 PM,-2,17,19,17,25,0,30,0.0,1019,25,10,70,15
2020-02-10,27,11,0.0,11.2,6,6,83,07:35 PM,07:54 AM,07:02 AM,06:20 PM,2,20,21,20,17,3,33,0.0,1017,27,10,171,10
2020-02-11,29,14,0.0,11.2,6,6,75,08:40 PM,08:40 AM,07:02 AM,06:20 PM,6,22,22,22,16,12,37,0.0,1016,29,10,211,10
2020-02-12,30,16,0.0,11.2,6,6,68,09:43 PM,09:23 AM,07:01 AM,06:21 PM,6,23,23,23,16,5,36,0.0,1017,30,10,150,10
2020-02-13,31,17,0.0,11.2,7,7,60,10:45 PM,10:05 AM,07:00 AM,06:21 PM,6,24,24,24,15,4,32,0.0,1016,31,10,312,9
2020-02-14,31,18,0.0,11.2,7,7,53,11:47 PM,10:46 AM,07:00 AM,06:22 PM,4,25,25,25,14,3,27,0.0,1014,31,10,337,8
2020-02-15,32,18,0.0,11.6,7,7,45,No moonrise,11:29 AM,06:59 AM,06:23 PM,5,24,24,25,13,11,31,0.0,1014,32,10,134,7
2020-02-16,34,18,0.0,11.6,7,7,38,12:47 AM,12:12 PM,06:58 AM,06:23 PM,1,26,26,26,17,1,22,0.0,1015,34,10,35,10
2020-02-17,33,18,0.0,11.6,7,7,30,01:47 AM,01:00 PM,06:58 AM,06:24 PM,-4,26,26,26,17,1,16,0.0,1016,33,10,41,10
2020-02-18,34,18,0.0,11.6,7,7,22,02:46 AM,01:49 PM,06:57 AM,06:24 PM,-4,27,27,27,11,0,14,0.0,1015,34,10,265,7
2020-02-19,32,20,0.0,11.6,7,7,15,03:42 AM,02:41 PM,06:56 AM,06:25 PM,-1,26,26,26,11,8,18,0.0,1012,32,10,232,8
2020-02-20,33,20,0.0,11.6,7,7,7,04:35 AM,03:36 PM,06:56 AM,06:25 PM,5,27,27,27,15,5,27,0.0,1011,33,10,224,10
2020-02-21,32,18,0.0,11.6,7,7,0,05:24 AM,04:30 PM,06:55 AM,06:26 PM,2,26,26,26,18,2,23,0.0,1014,32,10,263,11
2020-02-22,33,15,0.0,11.6,7,7,0,06:08 AM,05:24 PM,06:54 AM,06:26 PM,1,24,24,24,22,0,24,0.0,1016,33,10,239,13
2020-02-23,32,16,0.0,11.6,7,7,0,06:49 AM,06:16 PM,06:53 AM,06:27 PM,5,24,24,25,19,2,33,0.0,1014,32,10,231,11
2020-02-24,29,16,0.0,11.6,6,6,0,07:26 AM,07:07 PM,06:53 AM,06:27 PM,5,22,22,22,20,2,34,0.0,1013,29,10,229,12
2020-02-25,29,17,0.0,11.6,6,6,8,08:01 AM,07:57 PM,06:52 AM,06:28 PM,3,23,23,23,19,1,31,0.0,1013,29,10,13,12
2020-02-26,31,17,0.0,11.6,7,7,15,08:33 AM,08:46 PM,06:51 AM,06:28 PM,1,25,25,25,16,0,24,0.0,1013,31,10,44,10
2020-02-27,33,19,0.0,11.6,6,6,23,09:06 AM,09:36 PM,06:50 AM,06:29 PM,2,26,26,26,10,15,22,0.0,1013,33,10,285,6
2020-02-28,34,21,0.0,11.6,7,7,30,09:39 AM,10:25 PM,06:49 AM,06:29 PM,3,28,28,28,12,6,23,0.0,1010,34,10,182,8
2020-02-29,32,20,0.0,11.6,7,7,38,10:12 AM,11:16 PM,06:49 AM,06:30 PM,3,27,27,27,20,18,23,0.0,1010,32,10,206,14
2020-03-01,32,19,0.0,11.6,7,7,44,10:49 AM,No moonset,06:48 AM,06:30 PM,5,26,26,26,13,15,28,0.0,1010,32,10,209,8
2020-03-02,33,18,0.0,11.6,7,7,51,11:29 AM,12:08 AM,06:47 AM,06:30 PM,1,26,26,26,16,0,22,0.0,1011,33,10,273,11
2020-03-03,32,17,0.0,11.6,7,7,58,12:13 PM,01:03 AM,06:46 AM,06:31 PM,4,26,26,26,21,2,27,0.0,1010,32,10,275,14
2020-03-04,31,17,0.0,11.6,7,7,65,01:03 PM,01:59 AM,06:45 AM,06:31 PM,4,24,24,24,24,3,32,0.0,1010,31,10,278,15
2020-03-05,30,16,0.0,11.6,6,6,73,01:59 PM,02:56 AM,06:44 AM,06:32 PM,4,24,24,24,23,4,32,0.0,1009,30,10,247,15
2020-03-06,28,15,0.0,11.6,6,6,80,03:01 PM,03:53 AM,06:43 AM,06:32 PM,9,22,22,21,30,11,48,0.0,1009,28,10,239,20
2020-03-07,30,14,0.0,11.6,6,6,87,04:05 PM,04:48 AM,06:43 AM,06:33 PM,4,23,23,23,19,1,38,0.0,1012,30,10,264,12
2020-03-08,32,15,0.0,11.6,7,7,95,05:12 PM,05:40 AM,06:42 AM,06:33 PM,1,25,25,25,18,3,24,0.0,1013,32,10,213,11
2020-03-09,31,16,0.0,11.6,7,7,100,06:18 PM,06:27 AM,06:41 AM,06:33 PM,5,24,24,24,21,29,30,0.0,1011,31,10,143,13
2020-03-10,31,19,0.0,11.6,7,7,100,07:24 PM,07:13 AM,06:40 AM,06:34 PM,9,26,26,25,22,32,40,0.0,1009,31,10,246,15
2020-03-11,30,15,0.0,11.6,6,6,84,08:28 PM,07:56 AM,06:39 AM,06:34 PM,8,23,23,22,28,6,47,0.0,1010,30,10,243,18
2020-03-12,30,14,0.0,11.6,6,6,76,09:32 PM,08:39 AM,06:38 AM,06:35 PM,4,23,23,23,23,4,39,0.0,1012,30,10,229,15
