date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,21,10,0.0,10.9,5,5,33,10:34 AM,10:52 PM,07:14 AM,06:06 PM,2,15,16,15,17,3,42,0.0,1018,21,10,315,10
2020-01-31,21,10,0.0,10.9,5,5,37,11:05 AM,11:43 PM,07:13 AM,06:07 PM,2,16,17,16,15,5,44,0.0,1016,21,10,210,9
2020-02-01,22,10,0.0,11.0,5,5,49,11:36 AM,No moonset,07:13 AM,06:08 PM,2,16,17,16,17,4,43,0.0,1018,22,10,235,9
2020-02-02,22,11,0.0,11.0,5,5,57,12:10 PM,12:35 AM,07:12 AM,06:09 PM,2,16,18,16,14,1,41,0.0,1020,22,10,270,8
2020-02-03,23,10,0.0,11.0,5,5,64,12:46 PM,01:29 AM,07:12 AM,06:09 PM,3,17,18,17,13,0,43,0.0,1019,23,10,170,8
2020-02-04,23,10,0.0,11.0,5,5,72,01:28 PM,02:25 AM,07:11 AM,06:10 PM,4,15,16,15,22,15,45,0.0,1016,23,10,132,13
2020-02-05,23,11,0.0,11.0,5,5,79,02:15 PM,03:23 AM,07:11 AM,06:11 PM,5,16,17,16,14,8,48,0.0,1017,23,10,217,8
2020-02-06,22,11,0.0,11.0,5,5,87,03:09 PM,04:22 AM,07:10 AM,06:12 PM,0,16,17,16,15,3,35,0.0,1016,22,10,255,9
2020-02-07,22,10,0.0,11.0,5,5,95,04:09 PM,05:22 AM,07:09 AM,06:12 PM,1,16,17,16,18,1,40,0.0,1019,22,10,159,10
2020-02-08,24,10,0.0,11.0,5,5,100,05:15 PM,06:18 AM,07:09 AM,06:13 PM,1,18,19,18,13,0,37,0.0,1022,24,10,48,8
2020-02-09,22,10,0.0,11.1,5,5,100,06:22 PM,07:11 AM,07:08 AM,06:14 PM,1,17,17,17,9,13,40,0.0,1022,22,10,137,5
2020-02-10,24,8,0.0,11.1,5,5,83,07:31 PM,08:00 AM,07:07 AM,06:15 PM,0,16,17,16,9,14,38,0.0,1019,24,10,200,5
2020-02-11,27,11,0.0,11.1,5,5,75,08:37 PM,08:43 AM,07:07 AM,06:15 PM,2,18,19,18,14,1,36,0.0,1019,27,10,212,8
2020-02-12,27,13,0.0,11.1,6,6,68,09:43 PM,09:25 AM,07:06 AM,06:16 PM,3,20,21,20,14,1,34,0.0,1019,27,10,279,8
2020-02-13,30,16,0.0,11.1,6,6,60,10:47 PM,10:04 AM,07:05 AM,06:17 PM,2,22,22,22,23,0,29,0.0,1017,30,10,290,13
2020-02-14,28,15,0.0,11.1,6,6,53,11:51 PM,10:43 AM,07:05 AM,06:17 PM,1,20,20,20,27,0,30,0.0,1015,28,10,316,16
2020-02-15,29,13,0.0,11.1,6,6,45,No moonrise,11:24 AM,07:04 AM,06:18 PM,-6,21,21,21,23,0,18,0.0,1015,29,10,316,14
2020-02-16,32,14,0.0,11.2,7,7,38,12:53 AM,12:06 PM,07:03 AM,06:19 PM,-4,24,24,24,12,0,17,0.0,1017,32,10,138,7
2020-02-17,31,15,0.0,11.2,6,6,30,01:55 AM,12:51 PM,07:02 AM,06:19 PM,-3,24,24,23,15,0,22,0.0,1018,31,10,302,9
2020-02-18,30,14,0.0,11.2,6,6,22,02:55 AM,01:41 PM,07:01 AM,06:20 PM,-6,23,23,24,14,1,16,0.0,1015,30,10,284,9
2020-02-19,30,14,0.0,7.1,5,5,15,03:52 AM,02:32 PM,07:01 AM,06:21 PM,-4,21,21,21,19,57,19,0.0,1012,30,10,170,11
2020-02-20,30,16,0.0,11.2,6,6,7,04:44 AM,03:27 PM,07:00 AM,06:21 PM,2,23,23,23,23,9,28,0.0,1011,30,10,164,13
2020-02-21,26,15,0.0,11.6,6,6,0,05:33 AM,04:21 PM,06:59 AM,06:22 PM,3,20,21,20,22,4,40,0.0,1015,26,10,299,13
2020-02-22,26,13,0.0,11.6,6,6,0,06:16 AM,05:17 PM,06:58 AM,06:23 PM,11,19,21,19,19,9,63,0.0,1019,26,10,73,11
2020-02-23,27,15,0.0,11.6,6,6,0,06:55 AM,06:11 PM,06:57 AM,06:23 PM,10,22,22,21,14,12,53,0.0,1017,27,10,254,8
