date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,30,22,0.0,8.7,6,6,33,09:42 AM,10:00 PM,06:16 AM,05:23 PM,16,26,26,25,12,62,62,6.5,1013,30,9,305,8
2020-01-31,28,19,0.0,8.7,6,6,37,10:14 AM,10:49 PM,06:16 AM,05:24 PM,10,24,24,23,16,10,44,0.0,1014,28,10,315,12
2020-02-01,28,17,0.0,8.7,6,6,49,10:48 AM,11:39 PM,06:16 AM,05:25 PM,9,24,24,23,11,2,39,0.0,1016,28,10,331,9
2020-02-02,26,17,0.0,8.7,6,6,57,11:23 AM,No moonset,06:15 AM,05:25 PM,6,22,22,22,14,10,38,0.0,1017,26,10,322,11
2020-02-03,26,17,0.0,8.7,6,6,64,12:01 PM,12:31 AM,06:15 AM,05:26 PM,4,22,22,22,12,1,32,0.0,1017,26,10,324,10
2020-02-04,27,16,0.0,8.7,6,6,72,12:44 PM,01:26 AM,06:15 AM,05:27 PM,5,23,23,22,9,10,34,0.0,1016,27,10,233,7
2020-02-05,28,20,0.0,8.7,6,6,79,01:32 PM,02:22 AM,06:14 AM,05:27 PM,11,24,24,23,12,44,47,0.0,1014,28,10,248,9
2020-02-06,28,19,0.0,8.7,6,6,87,02:26 PM,03:21 AM,06:14 AM,05:28 PM,11,23,23,23,12,7,49,0.0,1015,28,10,213,9
2020-02-07,28,19,0.0,8.7,6,6,95,03:27 PM,04:20 AM,06:13 AM,05:28 PM,10,24,24,23,11,35,46,0.0,1017,28,10,143,8
2020-02-08,26,20,0.0,8.7,6,6,100,04:30 PM,05:18 AM,06:13 AM,05:29 PM,10,24,24,23,18,48,45,0.0,1018,26,10,221,14
2020-02-09,28,20,0.0,8.7,6,6,100,05:37 PM,06:12 AM,06:12 AM,05:30 PM,8,23,23,23,15,18,38,0.0,1018,28,10,333,12
