date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,21,12,0.0,8.7,5,5,33,10:13 AM,10:31 PM,06:53 AM,05:46 PM,9,16,16,16,23,4,66,0.0,1014,21,10,289,15
2020-01-31,21,12,0.0,8.7,5,5,37,10:44 AM,11:22 PM,06:53 AM,05:47 PM,8,16,17,16,15,0,61,0.0,1013,21,10,291,12
2020-02-01,21,13,0.0,8.7,5,5,49,11:16 AM,No moonset,06:52 AM,05:48 PM,8,17,17,17,14,5,58,0.0,1015,21,10,300,10
2020-02-02,21,12,0.0,8.7,5,5,57,11:49 AM,12:14 AM,06:52 AM,05:49 PM,7,16,16,16,17,0,56,0.0,1016,21,10,289,12
2020-02-03,23,12,0.0,8.7,5,5,64,12:25 PM,01:08 AM,06:51 AM,05:50 PM,8,17,17,17,12,0,57,0.0,1016,23,10,287,9
2020-02-04,24,13,0.0,8.7,5,5,72,01:07 PM,02:04 AM,06:50 AM,05:50 PM,8,18,19,18,7,1,53,0.0,1014,24,10,45,6
2020-02-05,22,13,0.0,8.7,5,5,79,01:54 PM,03:02 AM,06:50 AM,05:51 PM,8,16,17,16,18,4,58,0.0,1013,22,10,297,12
2020-02-06,22,13,0.0,8.7,5,5,87,02:48 PM,04:01 AM,06:49 AM,05:52 PM,8,17,17,17,12,3,54,0.0,1014,22,10,302,9
2020-02-07,22,12,0.0,8.7,5,5,95,03:48 PM,05:00 AM,06:49 AM,05:52 PM,7,17,17,17,13,5,55,0.0,1016,22,10,217,8
2020-02-08,22,13,0.0,8.7,5,5,100,04:53 PM,05:57 AM,06:48 AM,05:53 PM,8,17,17,17,12,0,55,0.0,1017,22,10,308,9
2020-02-09,26,14,0.0,8.7,6,6,100,06:01 PM,06:50 AM,06:47 AM,05:54 PM,10,19,20,19,8,0,58,0.0,1018,26,10,207,6
2020-02-10,25,12,0.0,8.7,5,5,83,07:09 PM,07:39 AM,06:47 AM,05:55 PM,8,18,19,18,12,4,54,0.0,1016,25,10,283,9
2020-02-11,23,14,0.0,8.7,5,5,75,08:16 PM,08:22 AM,06:46 AM,05:55 PM,7,18,19,18,10,2,50,0.0,1016,23,10,284,7
2020-02-12,24,14,0.0,8.7,5,5,68,09:22 PM,09:04 AM,06:45 AM,05:56 PM,10,19,20,19,13,0,56,0.0,1016,24,10,278,10
2020-02-13,26,15,0.0,8.7,6,6,60,10:26 PM,09:43 AM,06:45 AM,05:57 PM,12,20,21,20,21,0,60,0.0,1012,26,10,295,14
