date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,26,19,0.0,11.2,6,6,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,12,24,24,23,20,0,50,0.0,1015,26,10,219,16
2020-01-31,26,19,0.0,11.2,6,6,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,13,25,25,23,18,0,50,0.0,1012,26,10,324,15
2020-02-01,27,18,0.0,11.2,6,6,49,11:54 AM,No moonset,07:13 AM,06:31 PM,15,25,25,23,18,1,54,0.0,1013,27,10,218,15
2020-02-02,29,21,0.0,11.2,7,7,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,19,27,27,26,11,1,60,0.0,1014,29,10,211,10
2020-02-03,28,26,0.0,11.2,7,7,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,20,29,29,27,9,2,67,0.0,1014,28,10,264,8
2020-02-04,28,18,0.0,11.2,7,7,72,01:54 PM,02:24 AM,07:12 AM,06:33 PM,17,26,26,25,17,1,60,0.0,1013,28,10,328,14
2020-02-05,26,19,0.0,11.2,6,6,79,02:43 PM,03:20 AM,07:12 AM,06:34 PM,12,25,25,24,22,4,46,0.0,1014,26,10,335,18
2020-02-06,28,19,0.0,11.2,7,7,87,03:39 PM,04:18 AM,07:12 AM,06:34 PM,13,25,25,24,18,0,48,0.0,1014,28,10,328,15
2020-02-07,25,18,0.0,11.2,6,6,95,04:38 PM,05:17 AM,07:11 AM,06:35 PM,12,25,25,23,19,0,48,0.0,1015,25,10,325,16
2020-02-08,28,22,0.0,11.2,7,7,100,05:42 PM,06:15 AM,07:11 AM,06:35 PM,14,26,26,25,22,1,51,0.0,1014,28,10,226,16
2020-02-09,29,23,0.0,11.3,7,7,100,06:47 PM,07:10 AM,07:10 AM,06:36 PM,15,27,27,25,24,5,52,0.0,1015,29,10,244,17
2020-02-10,29,22,0.0,11.3,7,7,83,07:52 PM,08:02 AM,07:10 AM,06:36 PM,18,27,27,26,22,13,59,0.0,1013,29,10,244,14
2020-02-11,31,23,0.0,11.3,7,7,75,08:55 PM,08:49 AM,07:09 AM,06:37 PM,19,29,29,27,17,11,59,0.0,1014,31,10,214,12
2020-02-12,30,23,0.0,11.3,7,7,68,09:56 PM,09:35 AM,07:09 AM,06:37 PM,20,30,30,27,17,15,63,0.0,1015,30,10,227,12
2020-02-13,31,24,0.0,11.3,7,7,60,10:56 PM,10:18 AM,07:08 AM,06:38 PM,19,30,30,28,19,9,58,0.0,1015,31,10,242,13
2020-02-14,30,26,0.0,11.3,7,7,53,11:56 PM,11:01 AM,07:08 AM,06:38 PM,17,29,29,27,23,5,52,0.0,1013,30,10,334,15
2020-02-15,30,22,0.0,11.3,7,7,45,No moonrise,11:45 AM,07:07 AM,06:38 PM,16,27,27,26,19,4,48,0.0,1013,30,10,328,14
2020-02-16,31,21,0.0,11.3,7,7,38,12:54 AM,12:30 PM,07:07 AM,06:39 PM,17,28,28,27,14,1,50,0.0,1013,31,10,310,12
2020-02-17,34,23,0.0,11.3,8,8,30,01:53 AM,01:19 PM,07:06 AM,06:39 PM,20,31,31,29,13,1,53,0.0,1014,34,10,220,10
2020-02-18,32,22,0.0,11.3,8,8,22,02:51 AM,02:09 PM,07:06 AM,06:40 PM,20,31,31,29,14,1,53,0.0,1013,32,10,229,10
2020-02-19,32,23,0.0,11.4,7,7,15,03:47 AM,03:02 PM,07:05 AM,06:40 PM,20,31,31,29,14,1,57,0.0,1012,32,10,315,11
2020-02-20,30,21,0.0,11.4,7,7,7,04:40 AM,03:56 PM,07:05 AM,06:41 PM,20,29,29,27,15,1,61,0.0,1012,30,10,306,12
2020-02-21,29,26,0.0,11.4,7,7,0,05:29 AM,04:49 PM,07:04 AM,06:41 PM,18,28,28,27,19,5,57,0.0,1014,29,10,319,14
2020-02-22,30,21,0.0,11.4,7,7,0,06:14 AM,05:42 PM,07:03 AM,06:41 PM,16,28,28,27,19,1,45,0.0,1015,30,10,323,14
2020-02-23,31,26,0.0,11.4,7,7,0,06:56 AM,06:33 PM,07:03 AM,06:42 PM,16,29,29,29,18,1,44,0.0,1013,31,10,321,13
2020-02-24,32,26,0.0,11.4,7,7,0,07:35 AM,07:23 PM,07:02 AM,06:42 PM,16,30,30,29,16,0,47,0.0,1012,32,10,320,13
2020-02-25,31,23,0.0,11.4,7,7,8,08:10 AM,08:11 PM,07:01 AM,06:43 PM,15,28,28,28,23,0,44,0.0,1011,31,10,218,17
2020-02-26,33,27,0.0,11.4,7,7,15,08:45 AM,08:59 PM,07:01 AM,06:43 PM,15,30,30,29,15,0,43,0.0,1011,33,10,227,12
2020-02-27,33,21,0.0,11.4,7,7,23,09:19 AM,09:47 PM,07:00 AM,06:43 PM,15,28,28,28,16,1,43,0.0,1011,33,10,231,12
2020-02-28,33,28,0.0,11.6,7,7,30,09:53 AM,10:34 PM,06:59 AM,06:44 PM,16,30,30,29,14,1,45,0.0,1010,33,10,260,11
2020-02-29,30,19,0.0,11.6,7,7,38,10:28 AM,11:24 PM,06:59 AM,06:44 PM,17,27,27,26,16,5,51,0.0,1010,30,10,298,12
2020-03-01,29,25,0.0,11.6,7,7,44,11:06 AM,No moonset,06:58 AM,06:44 PM,17,28,28,27,19,6,54,0.0,1011,29,10,316,14
2020-03-02,29,20,0.0,11.6,7,7,51,11:47 AM,12:15 AM,06:57 AM,06:45 PM,19,28,28,26,13,2,60,0.0,1012,29,10,282,11
2020-03-03,29,22,0.0,11.6,7,7,58,12:32 PM,01:08 AM,06:56 AM,06:45 PM,21,29,29,27,13,0,65,0.0,1012,29,10,273,11
2020-03-04,29,20,0.0,11.6,7,7,65,01:24 PM,02:04 AM,06:56 AM,06:45 PM,20,27,27,25,13,15,66,0.0,1012,29,10,282,11
2020-03-05,29,19,0.0,11.6,7,7,73,02:19 PM,03:01 AM,06:55 AM,06:46 PM,20,27,27,24,14,10,69,0.0,1011,29,10,268,12
2020-03-06,27,24,0.0,11.6,7,7,80,03:21 PM,03:58 AM,06:54 AM,06:46 PM,18,27,27,26,17,22,64,0.2,1011,27,10,252,14
2020-03-07,27,18,0.0,10.2,6,6,87,04:24 PM,04:53 AM,06:53 AM,06:46 PM,17,25,25,24,17,28,59,0.4,1013,27,10,311,14
2020-03-08,27,20,0.0,11.6,7,7,95,05:29 PM,05:47 AM,06:52 AM,06:46 PM,16,26,26,25,15,1,56,0.0,1013,27,10,306,13
2020-03-09,27,25,0.0,11.6,7,7,100,06:33 PM,06:36 AM,06:52 AM,06:47 PM,18,27,27,26,12,5,61,0.0,1012,27,10,291,11
2020-03-10,26,21,0.0,10.2,6,6,100,07:37 PM,07:23 AM,06:51 AM,06:47 PM,19,27,27,25,14,32,65,0.0,1012,26,10,292,12
2020-03-11,28,22,0.0,11.6,7,7,84,08:39 PM,08:08 AM,06:50 AM,06:47 PM,18,27,27,26,16,4,59,0.0,1012,28,10,300,13
2020-03-12,27,23,0.0,11.6,7,7,76,09:42 PM,08:53 AM,06:49 AM,06:48 PM,17,26,26,25,16,5,60,0.0,1014,27,10,306,14
