date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,21,14,0.0,8.7,5,5,33,10:28 AM,10:46 PM,07:11 AM,05:58 PM,8,17,17,17,15,2,54,0.0,1017,21,10,317,13
2020-01-31,21,15,0.0,8.7,5,5,37,10:59 AM,11:39 PM,07:10 AM,05:59 PM,7,17,17,17,10,4,51,0.0,1015,21,10,290,9
2020-02-01,21,14,0.0,10.9,5,5,49,11:30 AM,No moonset,07:10 AM,06:00 PM,7,17,17,17,9,6,50,0.0,1017,21,10,294,8
2020-02-02,23,15,0.0,10.9,5,5,57,12:02 PM,12:31 AM,07:09 AM,06:01 PM,7,19,19,19,10,0,49,0.0,1019,23,10,304,9
2020-02-03,25,15,0.0,10.9,5,5,64,12:38 PM,01:26 AM,07:09 AM,06:02 PM,7,20,20,20,8,0,45,0.0,1018,25,10,293,7
2020-02-04,22,16,0.0,10.9,5,5,72,01:19 PM,02:22 AM,07:08 AM,06:02 PM,7,19,19,19,7,5,47,0.0,1016,22,10,161,6
2020-02-05,23,14,0.0,11.0,5,5,79,02:06 PM,03:21 AM,07:08 AM,06:03 PM,6,18,18,18,12,5,47,0.0,1016,23,10,310,10
2020-02-06,24,15,0.0,11.0,5,5,87,02:59 PM,04:21 AM,07:07 AM,06:04 PM,6,19,20,19,7,1,44,0.0,1015,24,10,280,6
2020-02-07,22,14,0.0,11.0,5,5,95,04:00 PM,05:20 AM,07:06 AM,06:05 PM,5,18,18,18,8,4,44,0.0,1018,22,10,289,7
2020-02-08,24,15,0.0,11.0,5,5,100,05:05 PM,06:16 AM,07:06 AM,06:05 PM,8,20,20,20,9,0,49,0.0,1020,24,10,317,8
2020-02-09,26,16,0.0,11.0,6,6,100,06:14 PM,07:09 AM,07:05 AM,06:06 PM,7,21,21,21,7,4,46,0.0,1021,26,10,309,6
2020-02-10,25,14,0.0,11.0,6,6,83,07:23 PM,07:56 AM,07:04 AM,06:07 PM,5,20,20,20,9,15,41,0.0,1018,25,10,295,8
2020-02-11,26,15,0.0,11.1,6,6,75,08:30 PM,08:39 AM,07:03 AM,06:08 PM,7,21,21,21,7,3,41,0.0,1018,26,10,311,6
2020-02-12,26,16,0.0,11.1,6,6,68,09:37 PM,09:20 AM,07:03 AM,06:09 PM,8,21,21,21,15,3,44,0.0,1017,26,10,291,12
2020-02-13,29,17,0.0,11.1,6,6,60,10:42 PM,09:58 AM,07:02 AM,06:09 PM,9,23,23,23,25,3,43,0.0,1014,29,10,293,18
2020-02-14,25,19,0.0,11.1,6,6,53,11:47 PM,10:36 AM,07:01 AM,06:10 PM,5,22,22,22,22,0,36,0.0,1012,25,10,305,19
2020-02-15,28,17,0.0,11.1,6,6,45,No moonrise,11:16 AM,07:00 AM,06:11 PM,3,22,22,22,17,0,29,0.0,1012,28,10,300,15
2020-02-16,30,19,0.0,11.5,6,6,38,12:50 AM,11:57 AM,06:59 AM,06:11 PM,3,24,24,24,9,0,25,0.0,1015,30,10,315,8
2020-02-17,29,20,0.0,11.5,6,6,30,01:52 AM,12:42 PM,06:58 AM,06:12 PM,5,24,24,24,11,0,29,0.0,1016,29,10,306,10
2020-02-18,30,18,0.0,11.6,6,6,22,02:52 AM,01:31 PM,06:58 AM,06:13 PM,-0,23,23,24,13,3,21,0.0,1014,30,10,292,11
2020-02-19,27,17,0.0,10.1,5,5,15,03:50 AM,02:22 PM,06:57 AM,06:14 PM,2,21,21,21,20,40,27,0.0,1012,27,10,123,14
2020-02-20,28,17,0.0,11.6,6,6,7,04:42 AM,03:17 PM,06:56 AM,06:14 PM,8,22,22,22,29,19,40,0.0,1012,28,10,124,21
2020-02-21,22,16,0.0,7.3,4,4,0,05:31 AM,04:12 PM,06:55 AM,06:15 PM,12,19,20,19,28,60,63,13.1,1016,22,9,77,19
