date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,1,-7,0.0,8.7,1,1,33,10:39 AM,10:57 PM,07:30 AM,05:58 PM,-5,-3,-2,-3,4,36,85,0.1,1025,1,10,149,2
2020-01-31,-0,-8,0.0,8.7,1,1,37,11:07 AM,11:52 PM,07:30 AM,05:59 PM,-7,-4,-4,-4,4,31,82,0.0,1022,-0,10,151,2
2020-02-01,1,-9,0.0,10.7,2,2,49,11:35 AM,No moonset,07:29 AM,06:00 PM,-7,-4,-3,-4,4,27,79,0.0,1025,1,10,167,2
2020-02-02,1,-9,0.0,10.7,2,2,57,12:05 PM,12:47 AM,07:28 AM,06:01 PM,-8,-5,-4,-5,4,9,74,0.0,1029,1,10,175,3
2020-02-03,1,-8,0.0,10.8,2,2,64,12:39 PM,01:44 AM,07:27 AM,06:02 PM,-7,-4,-3,-4,3,10,76,0.0,1025,1,10,162,2
2020-02-04,2,-7,0.2,6.9,1,1,72,01:18 PM,02:43 AM,07:27 AM,06:03 PM,-6,-2,-1,-2,2,69,71,0.4,1022,2,9,184,1
2020-02-05,4,-6,0.0,10.8,2,2,79,02:03 PM,03:44 AM,07:26 AM,06:04 PM,-6,-1,-0,-1,3,27,71,0.2,1024,4,10,221,2
2020-02-06,4,-5,0.1,10.1,1,1,87,02:55 PM,04:44 AM,07:25 AM,06:05 PM,-6,-1,-1,-1,4,31,71,0.1,1020,4,10,210,2
2020-02-07,5,-5,0.0,10.8,2,2,95,03:56 PM,05:44 AM,07:24 AM,06:06 PM,-7,-1,0,-1,7,5,60,0.0,1027,5,10,320,4
2020-02-08,8,-4,0.0,10.8,2,2,100,05:03 PM,06:39 AM,07:23 AM,06:07 PM,-9,1,2,1,7,0,47,0.0,1032,8,10,202,5
2020-02-09,10,1,0.0,10.9,3,3,100,06:14 PM,07:30 AM,07:22 AM,06:08 PM,-6,4,5,4,3,0,46,0.0,1029,10,10,192,3
2020-02-10,11,3,0.0,10.9,3,3,83,07:26 PM,08:14 AM,07:22 AM,06:09 PM,-5,6,7,6,4,2,49,0.0,1025,11,10,182,3
