date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,28,24,0.0,8.7,7,7,33,10:02 AM,10:20 PM,06:30 AM,05:50 PM,20,27,27,26,19,21,71,0.0,1013,28,10,192,14
2020-01-31,27,24,0.0,4.2,6,6,37,10:36 AM,11:08 PM,06:29 AM,05:51 PM,21,28,28,26,12,63,76,6.9,1012,27,9,100,9
2020-02-01,25,23,0.0,4.2,5,5,49,11:12 AM,11:56 PM,06:29 AM,05:52 PM,21,26,26,24,15,79,80,20.6,1014,25,9,64,10
2020-02-02,26,23,0.0,7.2,6,6,57,11:49 AM,No moonset,06:29 AM,05:52 PM,20,27,27,25,13,64,76,7.4,1015,26,9,89,10
2020-02-03,26,24,0.0,5.7,5,5,64,12:29 PM,12:46 AM,06:29 AM,05:53 PM,20,27,27,25,17,72,77,11.8,1016,26,9,95,12
2020-02-04,25,24,0.0,4.2,5,5,72,01:13 PM,01:39 AM,06:28 AM,05:53 PM,20,26,26,24,11,72,80,16.3,1014,25,9,113,7
2020-02-05,27,24,0.0,4.2,6,6,79,02:02 PM,02:34 AM,06:28 AM,05:54 PM,20,27,27,25,15,67,75,4.7,1014,27,10,200,11
2020-02-06,28,24,0.0,8.7,7,7,87,02:57 PM,03:32 AM,06:28 AM,05:54 PM,20,28,28,26,19,43,69,1.4,1013,28,10,198,15
2020-02-07,27,25,0.0,8.7,7,7,95,03:57 PM,04:31 AM,06:27 AM,05:55 PM,19,27,27,26,17,37,68,1.0,1014,27,10,186,13
2020-02-08,26,24,0.0,4.2,6,6,100,05:01 PM,05:29 AM,06:27 AM,05:55 PM,19,27,27,25,15,69,70,4.2,1015,26,10,122,12
2020-02-09,25,22,0.0,4.2,5,5,100,06:05 PM,06:25 AM,06:27 AM,05:55 PM,20,25,25,23,31,84,79,14.9,1017,25,9,57,22
2020-02-10,25,22,0.0,8.7,5,5,83,07:09 PM,07:17 AM,06:26 AM,05:56 PM,19,26,26,24,21,50,74,0.3,1016,25,10,77,17
2020-02-11,26,23,0.0,8.7,6,6,75,08:11 PM,08:05 AM,06:26 AM,05:56 PM,19,26,26,25,16,50,70,0.1,1017,26,10,86,13
2020-02-12,26,23,0.0,8.7,6,6,68,09:12 PM,08:51 AM,06:25 AM,05:57 PM,18,26,26,25,12,23,67,0.0,1017,26,10,115,10
2020-02-13,29,24,0.0,8.7,7,7,60,10:12 PM,09:35 AM,06:25 AM,05:57 PM,18,27,27,26,9,5,64,0.0,1015,29,10,157,7
2020-02-14,28,23,0.0,8.7,7,7,53,11:11 PM,10:19 AM,06:24 AM,05:58 PM,19,27,27,26,17,0,65,0.0,1012,28,10,189,12
2020-02-15,29,24,0.0,8.7,7,7,45,No moonrise,11:03 AM,06:24 AM,05:58 PM,20,28,28,26,16,1,67,0.0,1013,29,10,173,12
2020-02-16,28,25,0.0,8.7,7,7,38,12:09 AM,11:49 AM,06:23 AM,05:58 PM,20,28,28,27,12,3,67,0.0,1014,28,10,171,10
2020-02-17,28,26,0.0,8.7,7,7,30,01:08 AM,12:37 PM,06:23 AM,05:59 PM,19,28,28,27,14,2,66,0.0,1015,28,10,188,11
2020-02-18,28,25,0.0,8.7,7,7,22,02:05 AM,01:29 PM,06:22 AM,05:59 PM,20,28,28,26,13,7,70,0.0,1014,28,10,180,10
2020-02-19,27,24,0.0,10.2,6,6,15,03:01 AM,02:21 PM,06:22 AM,06:00 PM,20,27,27,26,12,27,70,0.4,1015,27,10,158,10
2020-02-20,27,25,0.0,11.6,7,7,7,03:54 AM,03:15 PM,06:21 AM,06:00 PM,18,27,27,26,10,3,61,0.0,1015,27,10,134,8
2020-02-21,27,24,0.0,11.6,7,7,0,04:43 AM,04:08 PM,06:21 AM,06:00 PM,17,27,27,26,12,4,59,0.0,1017,27,10,101,10
2020-02-22,27,21,0.0,11.6,7,7,0,05:30 AM,05:00 PM,06:20 AM,06:01 PM,17,26,26,25,13,2,59,0.0,1017,27,10,94,11
2020-02-23,27,24,0.0,11.6,7,7,0,06:11 AM,05:52 PM,06:20 AM,06:01 PM,18,27,27,26,12,4,62,0.0,1016,27,10,136,9
2020-02-24,28,24,0.0,11.6,7,7,0,06:50 AM,06:41 PM,06:19 AM,06:01 PM,19,28,28,26,16,5,65,0.0,1013,28,10,179,13
2020-02-25,28,25,0.0,11.6,7,7,8,07:27 AM,07:29 PM,06:18 AM,06:02 PM,20,28,28,26,20,17,67,0.0,1012,28,10,191,15
2020-02-26,28,25,0.0,8.8,6,6,15,08:02 AM,08:16 PM,06:18 AM,06:02 PM,21,28,28,26,17,39,71,0.2,1012,28,10,185,13
2020-02-27,28,25,0.0,11.6,7,7,23,08:36 AM,09:03 PM,06:17 AM,06:02 PM,18,28,28,26,14,26,62,0.5,1013,28,10,110,11
2020-02-28,27,24,0.0,11.6,7,7,30,09:11 AM,09:50 PM,06:16 AM,06:03 PM,17,27,27,26,13,8,57,0.0,1013,27,10,109,10
