date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30 00:00:00,26,19,0.0,11.2,6,1,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,12,18,21,18,15,0,50,0.0,1016,18,10,7,13
2020-01-30 03:00:00,26,19,0.0,11.2,6,1,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,12,25,25,22,15,0,52,0.0,1015,22,10,18,13
2020-01-30 06:00:00,26,19,0.0,11.2,6,1,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,12,21,23,21,14,0,55,0.0,1016,21,10,26,13
2020-01-30 09:00:00,26,19,0.0,11.2,6,6,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,11,23,23,22,14,0,50,0.0,1017,22,10,20,13
2020-01-30 12:00:00,26,19,0.0,11.2,6,7,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,11,26,26,25,14,0,42,0.0,1016,25,10,113,13
2020-01-30 15:00:00,26,19,0.0,11.2,6,7,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,13,26,26,25,25,0,46,0.0,1013,25,10,323,21
2020-01-30 18:00:00,26,19,0.0,11.2,6,6,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,14,25,25,24,31,0,53,0.0,1013,24,10,332,23
2020-01-30 21:00:00,26,19,0.0,11.2,6,1,33,10:45 AM,11:04 PM,07:14 AM,06:30 PM,14,24,24,22,26,0,55,0.0,1014,22,10,233,19
2020-01-31 00:00:00,26,19,0.0,11.2,6,1,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,13,21,23,21,17,0,50,0.0,1013,21,10,13,15
2020-01-31 03:00:00,26,19,0.0,11.2,6,1,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,12,25,25,24,14,0,49,0.0,1012,24,10,11,12
2020-01-31 06:00:00,26,19,0.0,11.2,6,1,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,12,25,25,23,14,0,50,0.0,1013,23,10,10,12
2020-01-31 09:00:00,26,19,0.0,11.2,6,6,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,12,25,25,24,12,0,46,0.0,1015,24,10,124,10
2020-01-31 12:00:00,26,19,0.0,11.2,6,7,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,12,26,26,25,17,0,44,0.0,1013,25,10,327,14
2020-01-31 15:00:00,26,19,0.0,11.2,6,6,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,14,26,26,25,26,0,52,0.0,1011,25,10,317,22
2020-01-31 18:00:00,26,19,0.0,11.2,6,6,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,15,25,25,23,27,0,56,0.0,1011,23,10,331,21
2020-01-31 21:00:00,26,19,0.0,11.2,6,1,37,11:19 AM,11:52 PM,07:13 AM,06:31 PM,15,21,24,21,20,0,55,0.0,1012,21,10,231,17
2020-02-01 00:00:00,27,18,0.0,11.2,6,1,49,11:54 AM,No moonset,07:13 AM,06:31 PM,14,21,23,21,18,0,51,0.0,1012,21,10,4,15
2020-02-01 03:00:00,27,18,0.0,11.2,6,1,49,11:54 AM,No moonset,07:13 AM,06:31 PM,12,25,25,23,20,0,49,0.0,1011,23,10,10,16
2020-02-01 06:00:00,27,18,0.0,11.2,6,1,49,11:54 AM,No moonset,07:13 AM,06:31 PM,11,22,25,22,23,0,49,0.0,1012,22,10,13,18
2020-02-01 09:00:00,27,18,0.0,11.2,6,6,49,11:54 AM,No moonset,07:13 AM,06:31 PM,13,26,26,25,13,0,49,0.0,1014,25,10,18,11
2020-02-01 12:00:00,27,18,0.0,11.2,6,7,49,11:54 AM,No moonset,07:13 AM,06:31 PM,14,27,27,27,13,0,47,0.0,1013,27,10,115,11
2020-02-01 15:00:00,27,18,0.0,11.2,6,7,49,11:54 AM,No moonset,07:13 AM,06:31 PM,16,26,26,26,28,0,56,0.0,1011,26,10,317,22
2020-02-01 18:00:00,27,18,0.0,11.2,6,6,49,11:54 AM,No moonset,07:13 AM,06:31 PM,17,26,26,24,27,1,60,0.0,1011,24,10,331,20
2020-02-01 21:00:00,27,18,0.0,11.2,6,1,49,11:54 AM,No moonset,07:13 AM,06:31 PM,18,21,23,21,15,4,63,0.0,1014,21,10,235,12
2020-02-02 00:00:00,29,21,0.0,11.2,7,1,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,18,21,23,21,9,4,64,0.0,1014,21,10,51,8
2020-02-02 03:00:00,29,21,0.0,11.2,7,1,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,18,27,27,25,11,3,65,0.0,1012,25,10,119,10
2020-02-02 06:00:00,29,21,0.0,11.2,7,1,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,17,27,27,26,10,0,59,0.0,1013,26,10,105,9
2020-02-02 09:00:00,29,21,0.0,11.2,7,7,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,15,27,27,27,11,0,50,0.0,1016,27,10,112,10
2020-02-02 12:00:00,29,21,0.0,11.2,7,7,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,16,29,29,29,12,0,46,0.0,1015,29,10,169,10
2020-02-02 15:00:00,29,21,0.0,11.2,7,7,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,18,29,29,28,18,0,54,0.0,1013,28,10,249,16
2020-02-02 18:00:00,29,21,0.0,11.2,7,7,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,22,30,30,27,13,0,67,0.0,1014,27,10,272,11
2020-02-02 21:00:00,29,21,0.0,11.2,7,1,57,12:30 PM,12:40 AM,07:13 AM,06:32 PM,23,27,27,24,6,0,69,0.0,1016,24,10,213,6
2020-02-03 00:00:00,28,26,0.0,11.2,7,1,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,22,26,26,24,6,0,67,0.0,1015,24,10,60,5
2020-02-03 03:00:00,28,26,0.0,11.2,7,1,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,21,30,30,28,5,0,68,0.0,1014,28,10,109,5
2020-02-03 06:00:00,28,26,0.0,11.2,7,1,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,21,28,28,26,8,1,72,0.0,1014,26,10,98,6
2020-02-03 09:00:00,28,26,0.0,11.2,7,7,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,20,28,28,26,6,2,70,0.0,1016,26,10,148,5
2020-02-03 12:00:00,28,26,0.0,11.2,7,7,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,19,29,29,28,8,3,60,0.0,1015,28,10,254,6
2020-02-03 15:00:00,28,26,0.0,11.2,7,7,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,20,30,30,28,17,2,63,0.0,1013,28,10,277,15
2020-02-03 18:00:00,28,26,0.0,11.2,7,7,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,21,30,30,28,14,2,66,0.0,1013,28,10,266,12
2020-02-03 21:00:00,28,26,0.0,11.2,7,1,64,01:10 PM,01:31 AM,07:13 AM,06:32 PM,20,28,28,26,9,4,70,0.0,1014,26,10,263,8
2020-02-04 00:00:00,28,18,0.0,11.2,7,1,72,01:54 PM,02:24 AM,07:12 AM,06:33 PM,21,28,28,26,9,2,71,0.0,1014,26,10,298,8
2020-02-04 03:00:00,28,18,0.0,11.2,7,1,72,01:54 PM,02:24 AM,07:12 AM,06:33 PM,21,28,28,26,9,1,73,0.0,1013,26,10,222,8
2020-02-04 06:00:00,28,18,0.0,11.2,7,1,72,01:54 PM,02:24 AM,07:12 AM,06:33 PM,19,26,26,24,10,3,73,0.0,1013,24,10,16,9
